,관할구역,보호센터명,전화번호,보호센터주소
244,울산광역시 북구,쿨펫 홈플러스 북구점,052-286-3567,"울산광역시 북구 신답로 26 (상안동, 홈플러스) 쿨펫동물병원 홈플러스 북구점"
245,울산광역시 북구,쿨펫동물병원,052-288-7572,"울산광역시 북구 진장유통로 64 (진장동, 롯데마트) 4층 쿨펫동물병원"
246,경상남도 합천군,태민동물병원,***********,"경상남도 합천군 합천읍 옥산로 16 (합천읍, 까치빌라) 태민동물병원"
247,강원도 태백시,태백유기동물,***********,강원도 태백시 문의재로 5 (통동)
248,경기도 파주시,파주24시동물병원,031-944-5575,경기도 파주시 교하로 87 (목동동) 삼성프라자 201
249,대구광역시 수성구,펫동물병원,053-474-9820,대구광역시 수성구 달구벌대로 3144 (노변동) 펫동물병원
250,서울특별시 용산구,펫토이동물병원,02-795-2184,서울특별시 용산구 한남동 653-26
251,경기도 성남시,펫토피아동물병원,031-714-8392,"경기도 성남시 분당구 불정로 266 (수내동, 유신제일조합)"
252,강원도 평창군,평창군유기동물보호소,***********,강원도 평창군 진부면 청송로 61
253,경기도 평택시,평택시유기동물보호소,031-8024-3849,경기도 평택시 진위면 야막길 108-86 (진위면)
254,대구광역시 달성군,포산동물병원,053-616-2478,대구광역시 달성군 현풍면 비슬로 614-1 (현풍면) 논공읍 관할
255,전라북도 남원시,하나동물병원,063-634-7582,전라북도 남원시 왕정동 67
256,경기도 하남시,하남동물병원,031-793-7802,경기도 하남시 신평로 37 (덕풍동) 하남동물병원
257,경상남도 하동군,하동군유기동물보호소,055-880-2677,경상남도 하동군 적량면 한옥정길 90 (적량면) 유기동물보호소
258,부산광역시 영도구,하얀비둘기,051-293-9779,부산광역시 강서구 제도로 726 (강동동)
259,전라남도 함평군,학교동물임시보호센터,***********,전라남도 함평군 학교면 송산길 84 (학교면) 월산리 806-1
260,서울특별시 종로구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
261,서울특별시 중구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
262,서울특별시 성동구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
263,서울특별시 광진구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
264,서울특별시 동대문구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37
265,서울특별시 중랑구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37
266,서울특별시 성북구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
267,서울특별시 강북구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37
268,서울특별시 도봉구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 상수리 410-1
269,서울특별시 노원구,한국동물구조관리협회,031-868-2851,경기도 양주시 남면 감악산로 63-37 (남면)
270,서울특별시 은평구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-48
271,서울특별시 서대문구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
272,서울특별시 강서구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) 한국동물구조관리협회
273,서울특별시 구로구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 상수리 410-1
274,서울특별시 금천구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
275,서울특별시 영등포구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37
276,서울특별시 서초구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
277,서울특별시 강남구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) 한국동물구조관리협회
278,서울특별시 송파구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
279,서울특별시 강동구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (사)한국동물구조관리협회
280,경기도 동두천시,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37
281,경기도 김포시,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
282,경기도 연천군,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37
283,경기도 양주시,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
284,경기도 포천시,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) 한국동물구조관리협회
285,경기도 안양시,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동)
286,경기도 광명시,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동) 한국야생동물보호협회
287,경기도 안산시,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동) 안산시 상록구 부곡동 231-5
288,경기도 과천시,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동) (사)한국야생동물보호협회
289,경기도 군포시,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동)
290,경기도 의왕시,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동)
291,서울특별시 용산구,한남동물병원,02-793-9230,서울특별시 용산구 한남동 642-4
292,서울특별시 영등포구,한샘동물병원,02-2681-7585,"서울특별시 구로구 경인로 350 (개봉동, 비동) 105호"
293,경상남도 함양군,함양군위탁보호소,055-960-8143,"경상남도 함양군 함양읍 함양남서로 996-76 (함양읍, 농업기술센터)"
294,전라남도 해남군,해남군임시동물보호소,061-531-3914,전라남도 해남군 해남읍 부흥길 59-70
295,경기도 파주시,행복한동물병원,031-957-0075,"경기도 파주시 중앙로 241 (금촌동, 한샘파주키친프라자) 행복한동물병원"
296,전라북도 진안군,행복한동물병원,063-244-0090,전라북도 전주시 덕진구 건산로 243 (인후동1가) 행복한동물병원
297,대구광역시 수성구,허동물병원,053-752-7535,대구광역시 수성구 수성동2가 명덕로 421 (수성동2가) 허동물병원
298,대구광역시 달성군,현풍동물병원,053-614-3570,대구광역시 달성군 유가읍 테크노공원로 51 (유가읍)
299,서울특별시 마포구,홍익동물병원,02-325-2026,서울특별시 마포구 독막로 45 (합정동)
300,강원도 홍천군,홍천군유기동물보호소,033-434-9435,"강원도 홍천군 화촌면 둔덕이길 68 (화촌면, 홍천군유기동물보호센터)"
301,전라남도 화순군,화순군유기동물보호소,***********,전라남도 화순군 한천면 덕음로 115 (한천면)
302,대구광역시 달성군,화원연합동물병원,053-634-7975,대구광역시 달성군 화원읍 사문진로 447 (화원읍) 화원읍 관할
303,강원도 화천군,화천군농업기술센터,033-440-2941,강원도 화천군 상서면 영서로 6387-9 화천군농업기술센터
304,강원도 횡성군,횡성유기동물보호센터,033-731-1119,강원도 원주시 호저면 칠봉로 110-6 (호저면)
